round,k,threshold,f1,precision,recall
1,1,0.001001001001001001,0.6666666666666666,0.5,1.0
1,3,0.04004004004004004,0.6666666666666666,0.5,1.0
1,5,0.05905905905905906,0.6666666666666666,0.5,1.0
1,10,0.11811811811811812,0.6666666666666666,0.5,1.0
2,1,0.02002002002002002,0.6666666666666666,0.5,1.0
2,3,0.05905905905905906,0.6666666666666666,0.5,1.0
2,5,0.07907907907907907,0.6666666666666666,0.5,1.0
2,10,0.1931931931931932,0.6666666666666666,0.5,1.0
3,1,0.02002002002002002,0.6666666666666666,0.5,1.0
3,3,0.05905905905905906,0.6666666666666666,0.5,1.0
3,5,0.13513513513513514,0.6666666666666666,0.5,1.0
3,10,0.2502502502502503,0.6666666666666666,0.5,1.0
4,1,0.02002002002002002,0.6666666666666666,0.5,1.0
4,3,0.11811811811811812,0.6666666666666666,0.5,1.0
4,5,0.1961961961961962,0.6666666666666666,0.5,1.0
4,10,0.2552552552552553,0.6666666666666666,0.5,1.0
5,1,0.002002002002002002,0.6876750700280112,0.5290948275862069,0.982
5,3,0.13813813813813813,0.6666666666666666,0.5,1.0
5,5,0.15715715715715717,0.6666666666666666,0.5,1.0
5,10,0.23123123123123124,0.6666666666666666,0.5,1.0
6,1,0.001001001001001001,0.6671145448438025,0.5022761760242792,0.993
6,3,0.13513513513513514,0.6666666666666666,0.5,1.0
6,5,0.17717717717717718,0.6666666666666666,0.5,1.0
6,10,0.1961961961961962,0.6666666666666666,0.5,1.0
7,1,0.002002002002002002,0.6675576344804544,0.5012543903662819,0.999
7,3,0.13813813813813813,0.6666666666666666,0.5,1.0
7,5,0.17717717717717718,0.6666666666666666,0.5,1.0
7,10,0.23623623623623624,0.6666666666666666,0.5,1.0
8,1,0.002002002002002002,0.6668889629876625,0.5002501250625313,1.0
8,3,0.1021021021021021,0.6666666666666666,0.5,1.0
8,5,0.1961961961961962,0.6666666666666666,0.5,1.0
8,10,0.2552552552552553,0.6666666666666666,0.5,1.0
9,1,0.001001001001001001,0.6689053055742109,0.5035389282103134,0.996
9,3,0.15715715715715717,0.6666666666666666,0.5,1.0
9,5,0.2122122122122122,0.6666666666666666,0.5,1.0
9,10,0.23623623623623624,0.6666666666666666,0.5,1.0
10,1,0.002002002002002002,0.6668891855807744,0.500501002004008,0.999
10,3,0.11811811811811812,0.6666666666666666,0.5,1.0
10,5,0.15715715715715717,0.6666666666666666,0.5,1.0
10,10,0.29429429429429427,0.6666666666666666,0.5,1.0
11,1,0.002002002002002002,0.6666666666666666,0.5,1.0
11,3,0.13813813813813813,0.6666666666666666,0.5,1.0
11,5,0.1961961961961962,0.6666666666666666,0.5,1.0
11,10,0.2752752752752753,0.6666666666666666,0.5,1.0
12,1,0.002002002002002002,0.6666666666666666,0.5,1.0
12,3,0.11811811811811812,0.6666666666666666,0.5,1.0
12,5,0.17717717717717718,0.6666666666666666,0.5,1.0
12,10,0.23623623623623624,0.6666666666666666,0.5,1.0
13,1,0.002002002002002002,0.66711140760507,0.5005005005005005,1.0
13,3,0.13813813813813813,0.6666666666666666,0.5,1.0
13,5,0.17717717717717718,0.6666666666666666,0.5,1.0
13,10,0.2502502502502503,0.6666666666666666,0.5,1.0
